"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","1-Day Return","1-Week Return","1-Month Return","3-Month Return","1-Year Return","3-Year Return","5-Year Return","10-Year Return"
"Compuage Infocom Ltd.","Technology","Computer Hardware","-0.44","-1.01","14.27","53.65","29.34","56.13","1.83","28.98"
"Compucom Software Ltd.","Technology","Computer Software","-0.6","4.18","22.29","65.46","18.14","-19.3","-7.99","7.69"
"Comp-U-Learn Tech India Ltd.","Technology","Computer Software","-5","-14.61","-30.91","-20","-47.22","-58.23","-45.3","-13.85"
"Computer Point Ltd.","Technology","Computer Hardware","0","0","20","57.89","44.43","-14.05","-23.32","-14.42"
"Concurrent (India) Infrastructure Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Coral Hub Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Core Education & Technologies Ltd.","Technology","Computer Software","0","0.37","0.37","-46.75","-69.87","-79.74","-61.56","-15.86"
"COVIDH TECHNOLOGIES LTD.","Technology","Computer Software","-0.76","-4.59","3.79","66.4","-1.89","-","-","-"
"CSS Technergy Ltd","Technology","Computer Software","0","0","28.78","99.43","209.67","31.15","12.05","3.21"
"Cura Technologies Ltd.","Technology","Computer Software","-2.41","-8.6","2.66","0.71","-33.96","-30.25","-53.01","-14.74"
"Cybermate Infotek Ltd.","Technology","Computer Software","-2.5","8.33","23.81","0","36.84","6.27","-15.49","-17.77"
"Cyberscape Multimedia Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"Cybertech Systems & Software Ltd.","Technology","Computer Software","-2.98","-6.09","-10.79","47.42","41.74","62.89","27.46","15.45"
"Cyient Limited","Technology","Computer Software","-0.06","-1.7","-5.9","-19.2","-9.29","38.03","24.32","19.55"
"Danlaw Technologies India Ltd.","Technology","Computer Software","-2.46","-4.89","19.34","97.56","480.3","117.09","54.75","1.66"
"Datamatics Global Services Ltd.","Technology","Computer Software","1.44","6.11","24.37","34.51","-16.33","30.47","13.71","-3"
"Datasoft Application Software (India) Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Dynacons Systems & Solutions Ltd.","Technology","Computer Hardware","-0.71","38.72","43.3","69.51","35.61","43.64","12.83","10.98"
"Edserv Softsystems Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Encore Software Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"FCS Software Solutions Ltd.","Technology","Computer Software","-10","-10","28.57","12.5","50","8.74","-20.85","-22.39"
"Financial Technologies (India) Ltd.","Technology","Computer Software","-2.74","-7.87","15.31","2.99","-42.07","-52.58","-33.19","-21.41"
"Fintech Communication Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Firstobject Technologies Ltd","Technology","Computer Software","3.75","25.79","23.24","44.76","-6.94","-11.82","-36.44","-9.06"
"Fourth Generation Information Systems Ltd.","Technology","Computer Software","0","4.95","46.93","45.77","19.26","192.58","-","-"
"Frontier Informatics Ltd.","Technology","Computer Software","2.56","0","-9.09","11.11","-36.51","-33.75","-28.88","-20.65"
"Funny Software Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Futuristic Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Gamma Infoway Exalt Ltd.","Technology","Computer Hardware","-","-","-","-","-","-","-","-"
"Gemini Communication Ltd.","Technology","Computer Hardware","4.72","4.06","117.65","150.38","141.3","-21.9","-33.61","-11.64"
"Genesys International Corpn. Ltd.","Technology","Computer Software","1.39","26.89","21.49","65.4","65.7","-12.52","-17.61","24.79"
"Geodesic Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Geometric Ltd.","Technology","Computer Software","2.7","9.16","9.09","36.93","49.96","23.5","21.71","5.49"
"Glodyne Technoserve Ltd","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Goldstone Technologies Ltd.","Technology","Computer Software","0","0","18.11","-18.18","-25","-16.03","-19.42","-13.31"
"Green Field Agri Ventures Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"GSS Infotech Ltd.","Technology","Computer Software","-2.11","5.2","33.28","31.5","36.98","0.69","-26.96","-"
"HCL Infosystems Ltd.","Technology","Computer Hardware","0.25","-0.41","-4.15","68.92","42.37","16.68","-11.67","-13.68"
"HCL Technologies Ltd.","Technology","Computer Software","-0.41","-0.02","-0.68","-9.91","11.75","39.31","30.46","20.65"
"Helios & Matheson Information Technology Ltd.","Technology","Computer Software","0","4.99","14.97","-53.45","-86.4","-42.12","-22.03","-26.01"
"Hexaware Technologies Ltd.","Technology","Computer Software","-0.02","0.33","-3.08","-1.55","24.38","40.92","35.77","14.35"
"Hindustan Bio Sciences Ltd.","Technology","Computer Software","0","0","30.16","49.81","101.14","37.72","5.76","-10.78"
"Hit Kit Global Solutions Ltd.","Technology","Computer Software","3.12","10","-","3.12","22.22","-15.14","-12.67","-19.6"
"ICSA (India) Ltd.","Technology","Computer Software","0.61","9.27","26.92","29.41","-24.31","-40.42","-52.73","-30.31"
"IEC Education Ltd.","Technology","Computer Software","4.66","0.25","3.86","-26.28","0.75","-","-33.61","-2.45"
"IKF Technologies Ltd.","Technology","Computer Software","5","12","18.31","21.74","-3.45","-","-","-"
"Indian Infotech & Software Ltd.","Technology","Computer Software","-4","0","14.29","-7.69","-78.95","-78.04","-30.49","-"
"Indo-City Infotech Ltd.","Technology","Computer Software","-4.76","-","24.54","-5.56","-27.81","-5.04","-9.81","-3.72"
"Indus Networks Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Infinite Computer Solutions (India) Ltd.","Technology","Computer Software","-1","-4.32","-1.65","24.79","45.85","17.57","4.27","-"
"Info-Drive Software Ltd.","Technology","Computer Software","-7.14","-7.14","73.33","30","-65.79","-26.36","-33.72","-5.76"
"Informed Technologies India Ltd.","Technology","Computer Software","5","3.7","-10","19.71","-34.72","-","-2.43","1.14"
"Infosys Ltd.","Technology","Computer Software","-0.41","-0.97","5.3","-3.88","13.58","23.6","5.4","11.39"
"Infronics Systems Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Innovation Software Exports Ltd.","Technology","Computer Software","3.64","-","-","-","-","-41.77","-40.4","-"
"Integra Telecommunication & Software Ltd.","Technology","Computer Software","0","0","4.73","2.38","-","-","-","-"
"Integrated Hitech Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"Intellect Design Arena Ltd.","Technology","Computer Software","-1.44","0.54","-2.77","58.12","263.65","-","-","-"
"Intellvisions Software Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Intense Technologies Ltd.","Technology","Computer Software","-1.14","-1.14","1.76","-23.54","-39.24","69.54","39.43","-0.37"
"Interworld Digital Ltd","Technology","Computer Software","0","0","0","-55.56","-82.09","-59.07","-47.24","-24.04"
"Intrasoft Technologies Ltd.","Technology","Computer Software","1.55","10.51","-3.33","4.08","734.78","108.96","38.91","-"
"IZMO Ltd.","Technology","Computer Software","-2.18","-1.98","17.5","54.42","287.47","51.59","20.58","-9.4"
"Jetking Infotrain Ltd.","Technology","Computer Hardware","10.56","5.76","8.61","19.11","-8","-7.34","-17.51","-1.99"
"Jointeca Education Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Just Dial Ltd.","Technology","Computer Software","1.51","-4.13","-6.89","-12.44","-35.95","-","-","-"
"Kaashyap Technologies Ltd","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Kanika Infotech Ltd.","Technology","Computer Software","5.26","11.11","81.82","-","42.86","3.57","-11.57","-14.85"
"Kellton Tech Solutions Ltd.","Technology","Computer Software","0","-8.07","28.04","151.61","430.68","-","97.08","44.72"
"Kernex Microsystems (India) Ltd.","Technology","Computer Software","2.15","-1.23","10.36","30.34","-15.19","-10.62","-18.93","-15.69"
"KLG Systel Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Koa Tools India Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"KPIT Technologies Ltd.","Technology","Computer Software","0.06","-0.91","4.71","52.24","-15.89","15.48","20.12","16.34"
"LCC Infotech Ltd.","Technology","Computer Software","0","0","-44.44","-16.67","-54.55","-14.53","-28.1","-13.37"
"Lee & Nee Softwares (Exports) Ltd.","Technology","Computer Software","2.97","16.85","11.83","21.4","11.43","-10.07","-12.14","1.09"
"Luminaire Technologies Ltd.","Technology","Computer Hardware","0","0","-9.52","-32.14","-93.56","-84.2","-45.81","-25.25"
"Lycos Internet Ltd.","Technology","Computer Software","-2.77","10.68","4.12","25.65","-25.38","-23.25","-12.6","-2.29"
"Maars Software International Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Magnum Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Mahaveer Infoway Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Majesco Ltd.","Technology","Computer Software","-0.41","-2.29","-2.05","101.71","-","-","-","-"
"Mangalya Soft-Tech Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Mastek Ltd.","Technology","Computer Software","0.34","2.17","-1.22","17.27","-53.51","11.62","1.74","-4.26"
"Mega Corporation Ltd.","Technology","Computer Software","0","2.22","24.32","43.75","35.29","15.27","-14.38","-19.21"
"Megasoft Ltd.","Technology","Computer Software","0.41","1.54","39.08","64.25","59.56","-5.53","-24.97","-24.74"
"Megri Soft Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Melstar Information Technologies Ltd.","Technology","Computer Software","4.97","13.62","58.1","80.63","1.92","11.05","-8.05","-7.77"
"Micro Technologies (India) Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Mindteck (India) Ltd.","Technology","Computer Software","-1.84","-2.34","-5.91","121.03","160.32","106.88","31.34","14.23"
"MindTree Ltd.","Technology","Computer Software","-0.55","-2.93","1.33","-6.32","19.72","60.51","41.27","-"
"Moschip Semiconductor Technology Ltd.","Technology","Computer Software","-5.66","5.4","52.12","48.48","99.71","15.26","2.22","-16.25"
"Moser Baer India Ltd.","Technology","Computer Hardware","-0.53","1.08","-1.05","2.73","17.5","13.97","-29.95","-23.26"
"Mphasis Ltd.","Technology","Computer Software","-0.65","-1.06","-4.65","21","34.03","9.19","-5.89","12.46"
"Mro-Tek Ltd.","Technology","Computer Software","3.78","4.51","35.4","100.54","110.2","70.01","10.51","-7.66"
"MYM Technologies Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Net 4 India Ltd.","Technology","Computer Software","-4.8","-7.75","-13.45","-27.88","-54.31","-72.03","-53.9","-"
"Netlink Solutions (India) Ltd.","Technology","Computer Software","3.9","12.68","14.29","60","40.35","-3.13","-25.16","-17.43"
"Nettlinx Ltd.","Technology","Computer Software","0","-4.73","2.42","-","-26.94","46.07","13.97","16.28"
"Nexus Commodities And Technologies Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"NHC Foods Ltd.","Technology","Computer Software","-1.08","-2.14","8.96","16.99","-5.93","-28.39","-9.61","-"
"NIIT Ltd.","Technology","Computer Software","0","-0.1","4.42","37.42","107.51","49.41","12.33","9.86"
"NIIT Technologies Ltd.","Technology","Computer Software","-0.92","-1.25","-0.14","24.54","72.68","33.33","23.45","18.42"
"Northgate Com Tech Ltd.","Technology","Computer Software","-2.44","-4.76","17.65","29.03","53.85","-","-","-"
"Nucleus Software Exports Ltd.","Technology","Computer Software","-1.41","-5.06","-6.23","6.67","37.24","54.39","16.55","3.1"
"Odyssey Technologies Ltd.","Technology","Computer Software","-2.82","1.47","-11.2","-8.37","6.65","125.97","36.82","0.04"
"Omega Interactive Technologies Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Omni AXs Software Ltd.","Technology","Computer Software","0","-3.51","-","-20.29","-67.65","-41.28","-26.6","-8.52"
"Omnitech Infosolutions Ltd.","Technology","Computer Software","-4.88","-6.57","0.54","3.93","-60.39","-72.43","-54.77","-"
"OnMobile Global Ltd.","Technology","Computer Software","1.04","3.98","-0.65","48.75","84.68","45.33","-1.42","-"
"Ontrack Systems Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Oracle Financial Services Software Ltd.","Technology","Computer Software","-0.59","-1.02","-2.33","-1.93","13.43","5.71","10.44","13.74"
"Ortel Communications Ltd.","Technology","Computer Software","0.22","-2.49","-6.52","-12.44","-","-","-","-"
"Palred Technologies Ltd.","Technology","Computer Software","5.44","28.9","21.4","-","621.04","87.1","44.34","5.9"
"Pan India Corporation Ltd","Technology","Computer Software","4.35","4.35","14.29","14.29","-25","-10.07","-18.06","-13.46"
"Panoramic Universal Ltd.","Technology","Computer Software","1.56","3.23","28.59","24.5","49.05","22.28","-5.93","-0.55"
"Parle Software Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"PCS Technology Ltd.","Technology","Computer Hardware","16.77","27.46","54.1","80.34","26.6","25.88","13.39","0.85"
"Pentamedia Graphics Ltd.","Technology","Computer Software","-1.35","-9.88","5.8","-7.59","-30.48","-4.57","-18.65","-18.94"
"Persistent Systems Ltd.","Technology","Computer Software","-0.9","-1.8","-3.34","-2.14","-19.38","36.33","25.21","-"
"PFL Infotech Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Polaris Consulting & Services Ltd.","Technology","Computer Software","0.38","2.23","3.52","7.04","23.47","21.75","3.1","4.74"
"Powersoft Global Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Prabhav Industries Ltd.","Technology","Computer Software","0.67","-20.11","-20.53","55.67","48.04","-19.73","-53.3","-"
"Prithvi Information Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Prithvi Softech Ltd.","Technology","Computer Software","-4.93","-2.8","12.77","1.17","-3.15","26.89","10.23","-"
"Priya Ltd.","Technology","Computer Hardware","-2.55","17.94","20.06","-","13.08","12.92","5.97","5.15"
"PVP Ventures Ltd.","Technology","Computer Software","-0.79","2.44","3.28","-12.5","-13.1","-2.99","-5.02","-23.55"
"Quest Softech (India) Ltd.","Technology","Computer Software","3.19","-6.67","-13.4","-","26.86","-","-","-"
"Quintegra Solutions Ltd.","Technology","Computer Software","8.33","8.33","-35","-","-34.62","-30.66","-44.31","-33.43"
"R Systems International Ltd","Technology","Computer Software","-2.32","13.25","15.86","12.35","-12.29","58.84","41.84","-"
"Ramco Systems Ltd.","Technology","Computer Software","2.32","-0.38","-2.05","3.95","80.65","100.13","47.31","10"
"RAMINFO LTD.","Technology","Computer Software","5","-4.38","-12.36","-14.69","-14.82","92.61","32.62","2.2"
"Ranklin Solutions Ltd","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Redington India Ltd.","Technology","Computer Hardware","0","-4.15","-0.37","8.06","-9.5","11.02","8.43","-"
"Religare Technologies Ltd.","Technology","Computer Software","0.65","11.11","10","7.54","47.23","38.7","-","-"
"Response Informatics Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Rolta India Ltd.","Technology","Computer Hardware","5.69","7.51","5.42","2.54","11.53","18.42","-7.83","0.47"
"RS Software (India) Ltd.","Technology","Computer Software","-0.26","2.64","4.67","-2.94","-47.77","13.89","42.04","11.98"
"Saksoft Limited","Technology","Computer Software","4.99","37.11","88.14","123.9","135.42","91.7","41.36","9.39"
"Sankhya Infotech Ltd.","Technology","Computer Software","0","0","49.7","150.84","43.13","53.84","7.23","-"
"Sanmit Infra Ltd.","Technology","Computer Software","0","-1.23","47.96","-21.45","27.19","1.91","1.2","10.17"
"Sapan Chemicals Ltd.","Technology","Computer Software","4.92","9.71","17.07","17.07","582.12","33.33","-3.67","-5.55"
"Saven Technologies Ltd.","Technology","Computer Software","1.29","2.04","16.24","45","41.28","64.76","34.35","9.25"
"Scanpoint Geomatics Ltd.","Technology","Computer Hardware","-1.8","4.6","5","23.25","-21.78","14.26","-5.54","16"
"Secure Earth Technologies Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Sequel E-Routers Ltd.","Technology","Computer Software","4.93","5.23","-20.09","-39.26","-8.08","-8.2","-","-"
"Seshachal Technologies Ltd","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Shree Tulsi Online. Com Ltd.","Technology","Computer Software","1.31","9.93","54.08","-","-1.58","-56.17","-","-"
"SmartLink Network Systems Ltd.","Technology","Computer Hardware","-1.42","0.7","4.4","0.65","37.77","24.07","14.2","-3.31"
"Sofcom Systems Ltd.","Technology","Computer Software","-1.88","-","-6.41","-6.89","-","-","-","-"
"Softbpo Global Services Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Softech Infinium Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Softsol India Ltd.","Technology","Computer Software","4.97","9.36","1.18","28.12","-","5.52","4.83","3.74"
"Software Technology Group International Ltd.","Technology","Computer Software","4.29","5.29","4.29","-","7.77","-12.24","-18.54","-16.04"
"Sonata Software Ltd.","Technology","Computer Software","0.31","-2.98","7.24","17.86","35.82","93.31","30.16","17.55"
"Spanco Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Sparc Systems Ltd.","Technology","Computer Software","4.02","25.69","1.12","31.16","-44.98","2.11","-3.02","-"
"Spectacle Infotek Ltd.","Technology","Computer Software","0","0","7.14","36.36","-","-17.32","-51.01","9.42"
"SQL Star International Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"SQS India BFSI Ltd.","Technology","Computer Software","0.78","-2.45","21.89","52.82","62.74","132.75","69.1","-"
"Sterling International Enterprises Ltd.","Technology","Computer Software","0","0","29.67","36.42","-41.44","-19.36","-58.73","-21.83"
"Stocknet International Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Subex Ltd.","Technology","Computer Software","0.85","-0.42","-10.12","0.85","19.36","-3.83","-31.23","-29.36"
"Svam Softwares Ltd.","Technology","Computer Software","1.96","8.33","-3.7","-23.53","-22.39","-19.32","-27.23","-"
"T Spiritual World Ltd.","Technology","Computer Software","-3.85","2.74","11.94","33.93","-8.54","-11.45","-16.6","-20.91"
"Taksheel Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Tata Consultancy Services Ltd.","Technology","Computer Software","0.35","-0.23","2.8","-5.66","-1.84","24.34","16.35","19.25"
"Tata Elxsi Ltd.","Technology","Computer Software","-0.68","0.73","21.53","20.21","286.12","115","50.58","26.88"
"Tech Mahindra Ltd.","Technology","Computer Software","-0.21","-2.46","-3.83","-8.88","-17.87","31.78","24.55","-"
"Teledata Marine Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Tera Software Ltd.","Technology","Computer Software","-2.32","-6.12","45.73","158.2","195.27","26.7","15.45","5.77"
"Total Exports Ltd.","Technology","Computer Hardware","-2.8","-5.3","11.01","-8.09","-","-","32.21","-"
"Trigyn Technologies Ltd.","Technology","Computer Software","0.29","-5.34","-1.43","126.32","142.94","97.64","28.43","20.15"
"Tutis Technologies Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Twinstar Industries Ltd.","Technology","Computer Software","2.01","-6.88","-13.25","24.54","80.96","18.82","-6.88","-4.74"
"Unisys Software & Holding Inds. Ltd.","Technology","Computer Software","0","0.57","-9.56","-33.83","-40.86","-45","-15.81","-"
"United Interactive Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"USG Tech Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Usha Martin Education & Solutions Ltd.","Technology","Computer Software","-1.42","0.73","-8.28","-33.25","-19.19","-36.27","-39.58","-8.85"
"Vaishnavi Gold Ltd.","Technology","Computer Software","-4.04","-20.83","-15.93","-26.92","-40.62","-51.49","-48.86","-"
"Vakrangee Ltd.","Technology","Computer Software","0.34","-5.18","4.06","38.44","46.66","43.32","63.66","42.07"
"Valuemart Info Technologies Ltd","Technology","Computer Software","-","-","-","-","-","-","-","-"
"VCU Data Management Ltd.","Technology","Computer Software","0","0","4","-","-40.91","-","-","-"
"VEDAVAAG Systems Ltd.","Technology","Computer Software","0","1.53","69.47","172.65","324.06","82.62","40","-"
"Venus Power Ventures (India) Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Vertex Spinning Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"Vintron Informatics Ltd.","Technology","Computer Hardware","3.95","19.7","-13.19","-9.71","-16.8","-14.18","-4.89","24.38"
"Virgo Global Media Ltd.","Technology","Computer Software","0","-5.7","-29.74","-42.67","216.18","20.14","-7.98","-"
"Virinchi Technologies Ltd.","Technology","Computer Software","2.27","20.58","32.82","153.95","60.94","78.44","32.05","1.1"
"Virtualsoft Systems Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Visesh Infotecnics Ltd.","Technology","Computer Software","0","0","0","0","-33.33","-65.76","-32.82","-29.92"
"Visu International Ltd","Technology","Computer Software","4.71","25.79","127.27","146.91","198.51","9.82","-12.76","-18.21"
"VJIL Consulting Ltd.","Technology","Computer Software","3.45","0","11.19","1.97","85.19","6.55","-3.81","-4.92"
"VXL Instruments Ltd.","Technology","Computer Hardware","-1.31","-5.57","-14.41","-13.14","-49.83","-11.05","-19.65","-16.54"
"Wipro Ltd.","Technology","Computer Software","0.16","0.2","-1.18","-7.6","2.14","13.02","2.88","7.15"
"Women Networks Ltd.","Technology","Computer Software","0","0","-","-","-28.18","-23.22","-30.9","-1.42"
"Xchanging Solutions Ltd.","Technology","Computer Software","1.55","47.49","47.86","129.43","56.93","60.03","4.82","-11.5"
"XO Infotech Ltd.","Technology","Computer Hardware","-","-","-","-","-","-","-","-"
"Zen Technologies Ltd.","Technology","Computer Software","4.52","7.55","52.87","70.54","203.47","138.51","51.72","21.95"
"Zenith Computers Ltd.","Technology","Computer Hardware","0","8.27","11.63","24.68","-36.28","-33.24","-35.09","-26.73"
"Zenith Infotech Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Zensar Technologies Ltd.","Technology","Computer Hardware","-0.14","-4.97","-5.58","31.16","79.26","55.14","45.35","27.66"
"Zigma Software Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Zylog Systems Ltd.","Technology","Computer Software","4.35","18.03","28.57","1.41","-45.45","-60.19","-54.92","-"
