"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","Altman Z-score","Piotroski F-score","Modified C-score","Current PE","Median PE","Current PB","Median PB","Earning Yield (%)","PEG","Median Duration"
"CSS Technergy Ltd","Technology","Computer Software","4.6","5","1","8.16","8.13","2.07","0.7","10","0.05","5-Y"
"Cura Technologies Ltd.","Technology","Computer Software","-10.07","4","2","-","62.15","0.18","0.31","-24.47","-","5-Y"
"Cybermate Infotek Ltd.","Technology","Computer Software","-0.12","4","1","-","7.27","0.07","0.05","-307.82","-","5-Y"
"Cyberscape Multimedia Ltd.","Technology","Computer Software","3.94","4","0","-","7.73","-45.36","0.2","-302.82","-","5-Y"
"Cyberspace Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Cybertech Systems & Software Ltd.","Technology","Computer Software","5.25","2","2","108.51","10.68","2.3","0.74","2.36","-6.14","5-Y"
"Cyient Limited","Technology","Computer Software","9.87","3","2","14.49","11.84","2.89","1.74","9.83","0.42","5-Y"
"Danlaw Technologies India Ltd.","Technology","Computer Software","48.1","4","5","15.66","3.42","1.49","0.19","14.75","0.08","5-Y"
"Datamatics Global Services Ltd.","Technology","Computer Software","6.78","6","1","12.54","6.72","0.99","0.67","13.74","0.98","5-Y"
"Datapro Information Technology Ltd.","Technology","Computer Hardware","-","-","-","-","-","-","-","-","-","-"
"Datasoft Application Software (India) Ltd.","Technology","Computer Software","22.3","3","3","25.85","4.9","-2.92","-2.92","3.84","-1.03","3-Y"
"Digital Globalsoft Ltd.","Technology","Computer Software","4.94","9","2","-","-","-","-","-51.04","-","-"
"DSQ Software Ltd.","Technology","Computer Software","0.25","4","5","-","-","-","-","5.32","-","-"
"Dynacons Systems & Solutions Ltd.","Technology","Computer Hardware","4.68","8","2","10.67","5.08","0.53","0.2","23.54","-5.99","5-Y"
"E. Star Infotech Ltd.","Technology","Computer Software","6.78","5","4","-","-","-","-","0.01","-","-"
"Edserv Softsystems Ltd.","Technology","Computer Software","6","4","4","-","-","-","-","5.82","-","-"
"Encore Software Ltd.","Technology","Computer Software","-83.72","6","1","5.19","-","-","-","11.66","-","-"
"Enso Secutrack Ltd.","Technology","Computer Software","3.45","4","2","-","-","-","-","-1.66","-","-"
"Eonour Technologies Ltd.","Technology","Computer Software","-1.66","5","5","-","-","-","-","3.9","-","-"
"E-Serve International Ltd.","Technology","Computer Software","7.07","5","3","-","-","-","-","-29","-","-"
"European Software Alliances Ltd.","Technology","Computer Software","4.68","6","2","-","-","-","-","0.01","-","-"
"FCS Software Solutions Ltd.","Technology","Computer Software","7.18","7","2","-","3.73","0.17","0.11","-105.54","-","5-Y"
"Financial Technologies (India) Ltd.","Technology","Computer Software","6.34","3","3","-","9.06","0.21","1.17","7.16","-","5-Y"
"Fintech Communication Ltd.","Technology","Computer Software","-12.1","7","2","-","2.22","-6.1","4.8","-5.74","-","3-Y"
"Firstobject Technologies Ltd","Technology","Computer Software","7.42","6","4","-","8.3","0.27","0.26","-22.74","-","5-Y"
"Flextronics Software Systems Ltd","Technology","Computer Software","16.05","4","3","-","-","-","-","0.1","-","-"
"Fourth Generation Information Systems Ltd.","Technology","Computer Software","-12.13","3","6","-","-","7.97","2.89","-62.59","-","1-Y"
"Frontier Informatics Ltd.","Technology","Computer Software","-66.7","4","1","-","-","-0.34","3.22","-6.51","-","5-Y"
"Funny Software Ltd.","Technology","Computer Software","20.99","4","5","-","-","-","-","0.15","-","-"
"Futuristic Solutions Ltd.","Technology","Computer Software","-","-","-","24.33","42.92","3.15","2.93","5.67","3.6","3-Y"
"Gamma Infoway Exalt Ltd.","Technology","Computer Hardware","-0.28","5","4","-","-","-","-","-8.42","-","-"
"Gemini Communication Ltd.","Technology","Computer Hardware","-45.58","5","1","-","3.95","-0.1","0.56","-31.3","-","5-Y"
"Genesys International Corpn. Ltd.","Technology","Computer Software","12.08","2","4","46.05","26.71","1.31","1.62","2.83","-2.33","5-Y"
"Geodesic Ltd.","Technology","Computer Software","-0.14","1","8","-","-","-","-","2.78","-","-"
"Geometric Ltd.","Technology","Computer Software","8.55","5","2","18.99","9.49","2.7","2.16","11.97","2.06","5-Y"
"Glodyne Technoserve Ltd","Technology","Computer Software","-0.53","3","2","-","1.36","-0.01","0.09","-63.81","-","3-Y"
"Goldstone Technologies Ltd.","Technology","Computer Software","2.4","4","0","-","5.36","0.12","0.17","-44.33","-","5-Y"
"Green Field Agri Ventures Ltd.","Technology","Computer Software","16.91","4","6","120.52","98.13","15.21","3.98","0.87","0.92","3-Y"
"GSS Infotech Ltd.","Technology","Computer Software","4.48","5","4","-","4.2","0.4","0.18","14.51","-","5-Y"
"Gujarat Fiscon Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","0.83","-","-"
"Harbor Network Systems Ltd.","Technology","Computer Software","6.84","1","5","-","-","-","-","0.1","-","-"
"HCL Infosystems Ltd.","Technology","Computer Hardware","1.92","1","2","-","10.84","1.13","0.59","-1.61","-","5-Y"
"HCL Technologies Ltd.","Technology","Computer Software","13.1","4","3","16.77","16.68","4.8","4.78","8.23","0.22","5-Y"
"Helios & Matheson Information Technology Ltd.","Technology","Computer Software","4.05","7","1","0.51","3.48","0.07","0.33","43.54","0.01","5-Y"
"Hexaware Technologies Ltd.","Technology","Computer Software","22.96","6","1","19.22","12.05","4.94","3.15","7.18","0.35","5-Y"
"Hindustan Bio Sciences Ltd.","Technology","Computer Software","2.52","3","5","-","312.66","0.58","0.21","-5.19","-","5-Y"
"Hit Kit Global Solutions Ltd.","Technology","Computer Software","88.68","5","5","-","96.52","0.12","0.12","0.84","-","5-Y"
"ICDS Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","3.26","-","-"
"ICES Software Ltd.","Technology","Computer Software","1.19","5","3","-","-","-","-","0.04","-","-"
"ICSA (India) Ltd.","Technology","Computer Software","-36.27","2","3","-","3.62","-0.01","0.14","-29.11","-","5-Y"
"Ideaspace Solutions Ltd.","Technology","Computer Software","2.04","6","3","-","-","-","-","-0.07","-","-"
"IEC Education Ltd.","Technology","Computer Software","4.47","3","3","111.14","36.43","0.17","0.37","-0.04","-1.46","5-Y"
"Igate Global Solutions Ltd.","Technology","Computer Software","5.18","5","3","-","-","-","-","-20.79","-","-"
"IKF Technologies Ltd.","Technology","Computer Software","6.12","5","2","24.3","24.85","0.24","0.34","-9.15","-0.61","5-Y"
"Indian Infotech & Software Ltd.","Technology","Computer Software","4.48","5","1","20","64.63","0.1","2.39","11.3","0.13","3-Y"
"Indo-City Infotech Ltd.","Technology","Computer Software","59.07","5","2","975","68.24","0.29","0.36","1.42","-17.51","5-Y"
"Indus Networks Ltd.","Technology","Computer Software","2.15","6","3","-","-","-","-","0.58","-","-"
"Infinite Computer Solutions (India) Ltd.","Technology","Computer Software","5.86","7","2","7.69","4.9","1.02","0.85","19.7","1.2","5-Y"
"Info-Drive Software Ltd.","Technology","Computer Software","4.02","5","3","6.5","38.28","0.14","0.32","1.98","-0.23","5-Y"
"Information Technologies (India) Ltd.","Technology","Computer Software","-87.08","3","5","-","-","-","-","0","-","-"
"Informed Technologies India Ltd.","Technology","Computer Software","9.61","4","2","12.13","5.93","0.72","0.73","23.86","-0.45","5-Y"
"Infosys Ltd.","Technology","Computer Software","24.39","4","4","19.68","19.03","4.38","4.46","8.11","0.76","5-Y"
"Infronics Systems Ltd.","Technology","Computer Software","-4.09","3","4","-","40.34","5.22","0.55","-60.54","-","3-Y"
"Innovation Software Exports Ltd.","Technology","Computer Software","-0.86","6","4","-","-","0.18","0.56","-39.78","-","3-Y"
"Integra Telecommunication & Software Ltd.","Technology","Computer Software","216.38","5","5","-","-","4.09","3.82","-1","-","1-Y"
"Integrated Hitech Ltd.","Technology","Computer Software","89.02","8","3","302.01","87.03","0.45","0.27","0.35","-15.26","5-Y"
"Intellect Design Arena Ltd.","Technology","Computer Software","12.68","3","5","-","-","4.75","-","0.12","-","-"
"Intellvisions Software Ltd.","Technology","Computer Software","8","8","3","-","-","-","-","19.04","-","-"
"Intense Technologies Ltd.","Technology","Computer Software","11.52","6","5","-","5.74","1.52","0.43","-9.9","-","5-Y"
"International Data Management Ltd.","Technology","Computer Hardware","-2636.24","3","5","-","-","-","-","-0.5","-","-"
"Interworld Digital Ltd","Technology","Computer Software","2.6","6","4","64.5","108.07","0.05","0.34","5.02","-3.04","5-Y"
"Intrasoft Technologies Ltd.","Technology","Computer Software","22.59","8","4","92.86","22.06","7.96","0.82","1.41","-10.99","5-Y"
"IQ Infotech Ltd.","Technology","Computer Software","-1.07","3","2","-","-","-","-","-0.82","-","-"
"IZMO Ltd.","Technology","Computer Software","4.6","3","3","18.49","5.81","0.53","0.13","5.87","0.34","5-Y"
"Jetking Infotrain Ltd.","Technology","Computer Hardware","4.78","7","0","27.92","10.59","0.65","0.76","6.46","-0.54","5-Y"
"Jointeca Education Solutions Ltd.","Technology","Computer Software","27.44","6","3","-","54.56","1.11","1.02","0.9","-","3-Y"
"Just Dial Ltd.","Technology","Computer Software","19.68","5","1","38.06","56.39","7.88","11.89","4.1","0.3","1-Y"
"Kaashyap Technologies Ltd","Technology","Computer Software","4.14","3","5","-","-","-","-","4.15","-","-"
"Kanika Infotech Ltd.","Technology","Computer Software","4.58","3","4","-","67.67","0.09","0.09","-18.97","-","5-Y"
"Kellton Tech Solutions Ltd.","Technology","Computer Software","7.57","5","5","27.44","11.84","10.47","1.51","4.99","0.09","3-Y"
"Kernex Microsystems (India) Ltd.","Technology","Computer Software","4.75","2","5","-","20.28","0.58","0.52","-12.75","-","5-Y"
"Kirloskar Multimedia Ltd.","Technology","Computer Software","-765.68","2","4","-","-","-","-","0.14","-","-"
"KLG Systel Ltd.","Technology","Computer Software","3.92","4","5","-","-","-","-","1.74","-","-"
"Koa Tools India Ltd.","Technology","Computer Software","6.65","5","5","-","1.02","0.17","0.36","-5.24","-","5-Y"
"KPIT Technologies Ltd.","Technology","Computer Software","7.54","4","3","14.27","12.64","2.35","2.47","7.66","0.35","5-Y"
"Lan Eseda Inds. Ltd.","Technology","Computer Software","7.59","6","3","-","-","-","-","0","-","-"
"LCC Infotech Ltd.","Technology","Computer Software","6.46","6","0","-","-","0.01","-","-4.84","-","-"
"Lee & Nee Softwares (Exports) Ltd.","Technology","Computer Software","4.25","7","2","-","235.03","0.34","0.35","-0.41","-","5-Y"
"Luminaire Technologies Ltd.","Technology","Computer Hardware","4.58","2","5","-","744.38","0.22","44.51","-5","-","5-Y"
"Lycos Internet Ltd.","Technology","Computer Software","9.79","8","3","4.26","4.18","0.9","0.82","36.65","0.04","5-Y"
"Maars Software International Ltd.","Technology","Computer Software","2.66","2","5","-","-","-","-","-5.45","-","-"
"Magnum Ltd.","Technology","Computer Software","0.19","2","5","-","528.43","1.62","1.26","0.12","-","1-Y"
"Mahaveer Infoway Ltd.","Technology","Computer Software","2.48","8","5","6.94","6.15","0.57","0.36","12.46","0.05","1-Y"
"Majesco Ltd.","Technology","Computer Software","15.69","5","5","-","-","5.8","-","0.65","-","-"
"Mangalya Soft-Tech Ltd.","Technology","Computer Software","843.04","5","0","400","362","0.14","0.18","0.25","14.14","3-Y"
"Mascon Global Ltd.","Technology","Computer Software","-0.15","4","5","-","-","-","-","12.7","-","-"
"Mastek Ltd.","Technology","Computer Software","6.75","5","0","19.89","10.26","1.38","0.67","12.45","-2.75","5-Y"
"Mega Corporation Ltd.","Technology","Computer Software","15.58","6","3","18.33","21.18","0.18","0.14","5.73","0.61","5-Y"
"Megasoft Ltd.","Technology","Computer Software","1.1","5","5","-","10.55","0.22","0.18","9.4","-","5-Y"
"Megri Soft Ltd.","Technology","Computer Software","14.24","5","4","2.31","-","0.22","-","-15.17","-","-"
"Melstar Information Technologies Ltd.","Technology","Computer Software","-1.25","6","1","-","7.95","1.1","0.71","8.49","-","5-Y"
"Micro Technologies (India) Ltd.","Technology","Computer Software","0.77","5","5","-","-","-","-","-62.29","-","-"
"Millennium Cybertech Ltd.","Technology","Computer Software","-3.82","4","2","-","-","-","-","-305.68","-","-"
"Mindteck (India) Ltd.","Technology","Computer Software","11.71","6","1","18.17","8.07","2.24","0.52","2.44","0.23","5-Y"
"MindTree Ltd.","Technology","Computer Software","27.42","5","0","22.38","12.01","5.54","2.88","6.22","0.45","5-Y"
"Moschip Semiconductor Technology Ltd.","Technology","Computer Software","-11.5","4","2","-","-","-2.1","2.15","-6.22","-","5-Y"
"Moser Baer India Ltd.","Technology","Computer Hardware","-10.33","3","3","-","-","-0.15","0.28","-10.28","-","5-Y"
"Mphasis Ltd.","Technology","Computer Software","11.18","6","0","15.34","11.13","1.76","1.77","11.33","-","5-Y"
"Mro-Tek Ltd.","Technology","Computer Software","1.66","2","3","-","-","3.97","0.3","-12.53","-","5-Y"
"MYM Technologies Ltd.","Technology","Computer Software","4.39","7","3","-","-","-","-","3.97","-","-"
"Net 4 India Ltd.","Technology","Computer Software","-9.6","4","4","-","9.57","-0.03","1.71","-17.98","-","5-Y"
"Netflier Finco Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","5.34","-","-"
"Netlink Solutions (India) Ltd.","Technology","Computer Software","6.43","5","4","19.96","22.7","0.23","0.35","-13.19","0.48","5-Y"
"Nettlinx Ltd.","Technology","Computer Software","5.29","3","0","-","19.11","1.53","0.83","-2.91","-","5-Y"
"Nexus Commodities And Technologies Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","0.76","-","-"
"Nexus Software Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"NHC Foods Ltd.","Technology","Computer Software","2.01","6","3","-","15.76","1.27","1.78","1.94","-","5-Y"
"NIIT Ltd.","Technology","Computer Software","4.92","3","0","-","18.27","2","1.47","-6.19","-","5-Y"
"NIIT Technologies Ltd.","Technology","Computer Software","11.16","4","2","22.94","11.64","3.23","2.21","5.46","2.01","5-Y"
"Northgate Com Tech Ltd.","Technology","Computer Software","-3.98","7","5","-","-","-1.95","-","9.43","-","-"
"Nucleus Software Exports Ltd.","Technology","Computer Software","14.24","5","4","16.9","8.57","1.94","0.94","11.58","1.02","5-Y"
"Odyssey Technologies Ltd.","Technology","Computer Software","21.06","4","3","12.97","5.68","3.15","1.93","13.32","0.04","5-Y"
"Omega Interactive Technologies Ltd.","Technology","Computer Software","996.51","4","5","225.68","84.51","6.55","2.4","0.4","-7.14","3-Y"
"Omni AXs Software Ltd.","Technology","Computer Software","2.14","3","3","-","-","0.08","0.2","-7.26","-","5-Y"
"Omnitech Infosolutions Ltd.","Technology","Computer Software","-1.24","2","4","-","4.37","-0.11","0.71","-38.58","-","5-Y"
"OnMobile Global Ltd.","Technology","Computer Software","5.82","8","2","-","8.64","2.17","0.66","2.18","-","5-Y"
"Ontrack Systems Ltd.","Technology","Computer Software","1.77","2","3","-","-","-","-","2.78","-","-"
"Oracle Financial Services Software Ltd.","Technology","Computer Software","9.71","4","1","28.62","22.23","7.82","3.38","2.21","1.85","5-Y"
"ORG Informatics Ltd.","Technology","Computer Software","2.25","5","3","-","-","-","-","2.71","-","-"
"Orient Information Technology Ltd.","Technology","Computer Software","3.89","3","6","-","-","-","-","-1.22","-","-"
"Ortel Communications Ltd.","Technology","Computer Software","4.02","8","4","48.54","-","4.1","-","6.49","-","-"
"Palred Technologies Ltd.","Technology","Computer Software","11.01","6","5","109.65","12.72","2.92","0.63","1.73","2.64","5-Y"
"Pan India Corporation Ltd","Technology","Computer Software","-","-","-","-","-","0.17","0.16","-11.92","-","5-Y"
"Panoramic Universal Ltd.","Technology","Computer Software","1.48","5","1","-","8.77","0.6","0.33","5.76","-","5-Y"
"Parle Software Ltd.","Technology","Computer Software","355.26","6","2","875.64","278.59","0.98","1.15","0.1","-","5-Y"
"Patni Computer Systems Ltd.","Technology","Computer Software","5.64","5","2","-","-","-","-","-3.88","-","-"
"PCS Technology Ltd.","Technology","Computer Hardware","8.46","7","1","12.12","11.78","1.75","0.56","12.37","0.36","5-Y"
"Pentagon Global Solutions Ltd.","Technology","Computer Software","4.56","1","6","-","-","-","-","-14.72","-","-"
"Pentamedia Graphics Ltd.","Technology","Computer Software","8.1","4","3","-","71.37","0.18","0.11","-502.09","-","5-Y"
"Pentasoft Technologies Ltd.","Technology","Computer Software","2.94","4","2","-","-","-","-","-0.16","-","-"
"Persistent Systems Ltd.","Technology","Computer Software","21.66","4","1","18.2","11.92","3.42","2.22","8.26","0.67","5-Y"
"Pertech Computers Ltd.","Technology","Computer Hardware","-","-","-","-","-","-","-","-","-","-"
"PFL Infotech Ltd.","Technology","Computer Software","70","4","4","85.24","170.74","2.87","21.53","1.05","75.97","3-Y"
"Polaris Consulting & Services Ltd.","Technology","Computer Software","10.26","5","4","12.91","7.49","2.3","1.24","12.34","-14.49","5-Y"
"Powersoft Global Solutions Ltd.","Technology","Computer Software","3.78","5","5","-","-","-","-","46.3","-","-"
"Prabhav Industries Ltd.","Technology","Computer Software","2.57","3","6","153.63","97.49","0.05","0.05","0.46","-2.57","5-Y"
"Prithvi Information Solutions Ltd.","Technology","Computer Software","2.19","3","0","-","3.6","0.01","0.06","-2.77","-","3-Y"
"Prithvi Softech Ltd.","Technology","Computer Software","9.29","7","0","7.97","5.88","0.81","0.67","52.44","0.26","5-Y"
"Priya Ltd.","Technology","Computer Hardware","4.2","6","5","6.12","5.47","0.35","0.3","12.7","0.95","5-Y"
"PSI Data Systems Ltd.","Technology","Computer Software","2.18","8","1","-","-","-","-","4.11","-","-"
"PVP Ventures Ltd.","Technology","Computer Software","0.86","4","4","329.98","11.84","0.25","0.23","6.85","-3.79","5-Y"
"Quest Softech (India) Ltd.","Technology","Computer Software","-0.13","9","2","58.14","80.57","0.87","1.28","0.55","2.01","1-Y"
"Quintegra Solutions Ltd.","Technology","Computer Software","-30.78","6","5","0.29","0.79","-0.09","0.68","44.37","0.01","5-Y"
"R Systems International Ltd","Technology","Computer Software","10.74","5","0","9.54","10.78","4.6","1.45","17.46","0.12","5-Y"
"Ramco Systems Ltd.","Technology","Computer Software","8.11","8","2","78.05","97.13","3.88","1.32","0.58","0.99","5-Y"
"RAMINFO LTD.","Technology","Computer Software","8.13","6","2","17.04","17.69","2.19","2.76","8.62","0.63","5-Y"
"Rane Computers Consultancy Ltd.","Technology","Computer Hardware","-","-","-","-","-","-","-","-","-","-"
"Ranklin Solutions Ltd","Technology","Computer Software","5.21","4","5","-","-","-","-","-18.62","-","-"
"Redington India Ltd.","Technology","Computer Hardware","3.88","4","2","11.86","11.35","1.81","2.07","5.36","0.48","5-Y"
"Religare Technologies Ltd.","Technology","Computer Software","-16.36","6","5","-","-","-0.07","-","-0.64","-","-"
"Response Informatics Ltd.","Technology","Computer Software","3.26","3","2","-","83.71","0.39","0.77","-3.13","-","1-Y"
"Rolta India Ltd.","Technology","Computer Hardware","2.92","7","2","8","4.99","1.4","1.09","10.71","-0.76","5-Y"
"RS Software (India) Ltd.","Technology","Computer Software","26.1","5","2","6.66","4.74","1.39","1.36","14.63","0.09","5-Y"
"Saksoft Limited","Technology","Computer Software","6","5","3","16.37","8.42","2.32","1","9.4","0.48","5-Y"
"Sankhya Infotech Ltd.","Technology","Computer Software","4.38","8","1","19.41","9.16","0.57","0.21","13.35","1.62","5-Y"
"Sanmit Infra Ltd.","Technology","Computer Software","11","3","4","-","14.42","5.61","0.95","-71.16","-","5-Y"
"Sanraa Media Ltd.","Technology","Computer Software","2.58","4","3","-","-","-","-","14.75","-","-"
"Sapan Chemicals Ltd.","Technology","Computer Software","-9.43","4","3","-","157.12","1","0.25","-202.14","-","5-Y"
"Satyam Computer Services Ltd.","Technology","Computer Software","5.81","7","3","-","-","-","-","-96.11","-","-"
"Saven Technologies Ltd.","Technology","Computer Software","14.01","7","1","18.55","2.57","1.52","0.61","17.79","0.3","5-Y"
"Scanpoint Geomatics Ltd.","Technology","Computer Hardware","5.22","3","4","-","27.62","4.61","3.46","0.6","-","5-Y"
"Scintilla Software Technology Ltd.","Technology","Computer Software","5.56","6","2","-","-","-","-","0","-","-"
